City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kiunga,-6.1219,141.2906,24.46,82,93,1.84,PG,1691065263
1,olonkinbyen,70.9221,-8.7187,2.91,93,49,5.82,SJ,1691065265
2,san patricio,28.017,-97.5169,28.91,84,1,1.65,US,1691065266
3,margaret river,-33.95,115.0667,11.05,68,100,2.49,AU,1691065267
4,port elizabeth,-33.918,25.5701,27.83,34,14,5.78,ZA,1691065268
5,lihue,21.9789,-159.3672,26.77,78,40,6.17,US,1691065270
6,fort mcmurray,56.7268,-111.381,13.77,100,100,1.03,CA,1691065271
7,santa elena de uairen,4.6167,-61.1333,21.98,81,57,0.66,VE,1691065272
8,puerto natales,-51.7236,-72.4875,4.34,93,100,10.07,CL,1691064981
9,kodiak,57.79,-152.4072,11.73,94,100,1.54,US,1691065274
10,hadibu,12.65,54.0333,29.54,56,36,11.64,YE,1691065276
11,grytviken,-54.2811,-36.5092,-1.31,97,100,2.13,GS,1691065277
12,flying fish cove,-10.4217,105.6791,24.82,94,100,7.72,CX,1691065278
13,colonia,50.9333,6.95,22.2,73,75,10.29,DE,1691065279
14,port-aux-francais,-49.35,70.2167,3.51,94,89,14.33,TF,1691065280
15,rosa zarate,0.3333,-79.4667,23.05,97,91,0.73,EC,1691065281
16,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,20,2.0,RU,1691065282
17,avarua,-21.2078,-159.775,23.03,100,100,3.09,CK,1691065283
18,georgetown,5.4112,100.3354,29.99,75,20,3.6,MY,1691065027
19,bilibino,68.0546,166.4372,9.31,95,100,1.27,RU,1691065284
20,grande prairie,55.1667,-118.8027,11.1,100,75,3.09,CA,1691065286
21,kingston,17.997,-76.7936,29.53,81,20,2.57,JM,1691065256
22,arkalyk,50.2486,66.9114,30.76,26,57,5.18,KZ,1691065288
23,udachny,66.4167,112.4,8.03,87,99,4.89,RU,1691065289
24,anadyr,64.75,177.4833,12.28,82,75,6.0,RU,1691065291
25,chibougamau,49.9168,-74.3659,13.79,94,100,7.72,CA,1691065292
26,levuka,50.1834,-105.4011,12.9,88,20,3.6,CA,1691065294
27,imbituba,-28.24,-48.6703,20.28,63,0,2.15,BR,1691065295
28,waitangi,-43.9535,-176.5597,8.23,96,100,2.24,NZ,1691065296
29,loukhi,66.0764,33.0381,22.57,66,30,3.3,RU,1691065297
30,cherdyn',60.403,56.4787,26.9,41,44,1.74,RU,1691065298
31,kulpahar,25.3167,79.65,31.44,65,96,5.09,IN,1691065263
32,edinburgh of the seven seas,-37.0676,-12.3116,13.62,80,65,11.93,SH,1691065300
33,invercargill,-46.4,168.35,8.34,85,61,2.68,NZ,1691065004
34,salekhard,66.53,66.6019,27.22,46,3,5.94,RU,1691065303
35,qaqortoq,60.7167,-46.0333,8.7,73,80,1.65,GL,1691065304
36,adamstown,-25.066,-130.1015,21.32,81,91,10.11,PN,1691065305
37,port mathurin,-19.6833,63.4167,23.47,78,73,7.52,MU,1691065306
38,jamestown,42.097,-79.2353,20.77,94,0,2.57,US,1691065307
39,meulaboh,4.1363,96.1285,27.15,77,83,1.67,ID,1691065308
40,jumla,29.2747,82.1838,21.1,86,98,1.59,NP,1691065309
41,klyuchi,52.2667,79.1667,27.31,39,99,2.69,RU,1691065310
42,murun-kuren,49.6342,100.1625,18.76,75,89,1.1,MN,1691065250
43,eyl,7.9803,49.8164,34.23,36,96,12.76,SO,1691065312
44,punta arenas,-53.15,-70.9167,4.16,90,100,13.37,CL,1691065314
45,soanierana ivongo,-16.9167,49.5833,22.39,90,85,6.7,MG,1691065315
46,mont-laurier,46.5501,-75.4993,16.79,99,100,3.78,CA,1691065316
47,hawaiian paradise park,19.5933,-154.9731,21.69,91,40,2.06,US,1691065317
48,nyurba,63.2842,118.3319,15.52,77,96,4.31,RU,1691065318
49,mount gambier,-37.8333,140.7667,17.85,43,86,6.59,AU,1691065186
50,egilsstadir,65.2653,-14.3948,13.95,58,20,1.03,IS,1691065320
51,micheweni,-4.9667,39.8333,26.34,68,100,8.04,TZ,1691065322
52,talnakh,69.4865,88.3972,25.72,20,20,1.18,RU,1691065261
53,balcarce,-37.8462,-58.2552,3.23,82,3,0.89,AR,1691065324
54,college,64.8569,-147.8028,17.11,78,75,2.06,US,1691065325
55,dryden,49.7833,-92.7503,14.16,94,40,1.54,CA,1691065326
56,bodo,67.28,14.405,16.92,82,75,2.06,NO,1691065328
57,beitbridge,-22.2167,30.0,21.91,27,3,5.73,ZW,1691065273
58,bartica,6.4,-58.6167,26.18,90,76,0.57,GY,1691065329
